###### Update this every run, make sure other PS values are set to -1! #########
###### 

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6635    HeepCoin +2.583  29.305       -2.026  38.60       LH2      3.835  50         3    0    0     0.169           4.502          0.061            35.484         47248     96.11               !20000 Good COIN
6636    HeepCoin +2.583  29.305       -2.026  38.60       Dummy    3.835  40         3    0    0     1.961	     		    		     		    	      			  !Junk? Beam off after few minutes
6637    HeepCoin +2.583  29.305       -2.026  38.60       Dummy    3.835  40         3    0    0     0.062	     1.928          0.011            28.6           8324      96.71		  !7473 COIN

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6638    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         13   10   0     15		   225             0.3		    33.03	   643934     87.29		  !64 Good COIN
6639    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  35         13   10   0     25		   537		   1.5 		    128.84	   5287033    76.67		  !110 Good COIN
6640    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  35         13   10   0     30            530             1.5 		    87.44	   3623550    76.67		  !91  Good COIN
6641    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  35         13   10   0     32		   526             1.6              111.52         4630920    76.79               !109 Good COIN
6642    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         13   10   0     15		   221             0.3              53.83          1047868    87.58               !81 Good COIN
6643    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         13   10   0     14		   224             0.3              55.04          1075418    87.13               !93 Good COIN
6644    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  24         13   10   0     22		   345		   0.7              86.54          2434415    82.79               !95 Good COIN
6645    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  24         13   10   0     30		   476		   1.3              83.13          2362072    83.57               !117 Good COIN
6646    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  32         13   10   0     30		   470		   1.2              103.66         3943633    77.87               !55 Good COIN
6647    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  32         13   10   0     30		   479		   1.3              104.60         3985590    78.19               !110 Good COIN
6648    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         13   10   0     15		   220		   0.3		    55.38          1089041    87.19               !79 Good COIN
6649    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         13	  10   0     15		   220		   0.3              59.19          1166358    86.90               !101 Good COIN
6650    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  24         13	  10   0     22		   340		   0.7              82.51          2355209    82.29               !92 Good COIN
6651    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  24         13	  10   0     22		   340		   0.7              90.58          2592662    82.83               !101 Good COIN
6652    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  32         13	   9   0     30		   476		   1.2              113.44         4340079    78.48               !132 Good COIN
6653    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  32         13	   9   0     29.8          474.4           1.25             105.81         4050177    77.93               !91 Good COIN
6654    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         12	   8   0     14.97         222.6           0.318            81.023         1599274    87.55               !138 Good COIN
6655    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  16         12	   8   0     15.101        225.905         0.3289           25.359         499507     87.40               !48 Good COIN
6656    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  24         13	   9   0     22.783        345.272         0.7274           82.46          2363880    82.62               !129 Good COIN
6657    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  24         13	   9   0     22.735        343.396         0.7298           79.595         2297538    82.71               !110 Good COIN
6658    Prod     +2.583  6 .79        -0.968  21.14       LH2      3.835  32         13	   9   0     30.589        477.396         1.2840           101.136	   3875253    78.11		  !109 Good COIN
6659	Prod	 +2.583	 6 .79	      -0.968  21.14	  LH2	   3.835  32	     13	   9   0     30.571	   477.378	   1.2235	    104.396	   4009244    78.33		  !85 Good COIN
6660	Prod	 ------	 -----	      ------  -----	  ---	   -----  --	     --	   -   -     ------	   -------	   ------	    -------	   -------    -----		  !JUNK
6661	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  16	     12	   8   0     15.085	   221.297	   0.3		    55.695	   1099834    87.28		  !78 Good COIN
6662	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  16	     12	   8   0     15.181	   225.720	   0.3		    54.923	   1088485    87.72		  !47 Good COIN
6663	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  24	     13	   9   0     22.647	   342.159	   0.7078	    94.358	   2705834    81.81		  !107 Good COIN
6664	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  24	     13	   9   0     22.729	   340.498	   0.6894	    74.894	   2152605    82.51		  !100 Good COIN
6665	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  32	     13	   9   0     30.358	   472.719	   1.3006	    105.620	   4083336    77.53		  !136 Good COIN
6666	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  32	     13	   9   0     30.142	   474.765	   1.2152	    109.299	   4224737    78.32		  !105 Good COIN
6667	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  16	     12	   8   0     14.940	   221.618	   0.3		    50.160         999570     87.50               !80 Goof COIN
6668	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  16	     12	   8   0     15.080        218.338         0.3              52.581         1051994    87.36               !78 Good COIN
6669	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  24	     13	   9   0     22.588        341.257         0.7169           82.695         2398597    82.49               !119 Good COIN
6670	Prod     ------  ----         ------  -----       ---      -----  --         --    -   -     ------        -------         ------           ------         -------    -----               !JUNK
6671	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  24         13    9   0     22.795        346.022         0.7039           66.110         1915377    82.31               !76 Good COIN            
6672	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  32         13    9   0     30.451        477.403         1.2682           122.766        4751186    77.24               !153 Good COIN           
6673	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  32         13    9   0     30.515        473.012         1.2913           100.98         3887225    77.78               !110 Good COIN
6674	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.829        281.273         0.4902           78.567         1897354    84.83               !100 Good COIN
6675	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.738        279.526         0.5018           69.351         1680289    84.66               !93 Good Coin
6676	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.914        281.957         0.5115           71.355         1733518    84.80               !90 Good COIN
6677	Prod	 ------  ----         ------  -----       ---      -----  --         --    -   -     ------        -------         ------           ------         -------    -----               !JUNK
6678	Prod	 ------  ----         ------  -----       ---      -----  --         --    -   -     ------        -------         ------           ------         -------    -----               !JUNK
6679	Prod	 ------  ----         ------  -----       ---      -----  --         --    -   -     ------        -------         ------           ------         -------    -----               !JUNK
6680	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.865        281.150         0.4944           19.056         462611     84.71               !38 Good COIN 
6681	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.739        282.319         0.4907           67.998         1648182    85.55               !100 Good COIN 
6682	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.856        279.294         0.5057           70.421         1704861    84.67               !112 Good COIN
6683	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  20         12    8   0     18.856        279.294         0.5057            6.551         169191     85.32               !13 Good COIN
6684	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         12    8   0     17.185        256.009         0.4180           65.919         1459085    86.13               !101 Good COIN
6685	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         12    8   0     16.724        253.089         0.3925            9.876         233703     86.62               !14 Good COIN
6686	Prod	 ------  ----         ------  -----       ---      -----  --         --    -   -     ------        -------         ------           ------         -------    -----               !JUNK
6687	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         12    8   0     17.059        253.754         0.407            46.784         1037078    86.04               !88 Good COIN
6688	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         12    8   0     17.120        250.757         0.397            66.424         1460964    86.16               !110 Good COIN
6689	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         12    8   0     16.863        250.009         0.405            55.722         1230599    86.13               !73 Good COIN
6690	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         12    8   0     17.008        250.961         0.385            62.254         1377455    86.06               !101 Good COIN
6691	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         13    9   0     17.084        254.196         0.421            70.908         1565586    86.20               !110 Good COIN
6692	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  18         13    9   0     16.162        261.421         0.406            57.693         1271966    85.98               !92 Good COIN

6693	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  12        ....   ..  ..    ......       ........        ......           .......        .........   ......              ! JUNK      
