###### Update this every run, make sure other PS values are set to -1! #########
###### 

#      ......................................................... 6.2GeV HEEP and LUMI runs ..................................................................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS2	PS3	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7903	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.977	12	8	0	13.59		267.882		0.321		239.039		1946958.0	0.9758			!44
7904	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.802	12	8	0	13.475		265.223		0.319		253.328		2069293.0	0.9741			!56
7905	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.007	12	8	0	9.618		188.614		0.228		181.337		1484614.0	0.9741			!35
7906	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.634	12	8	0	13.057		256.499		0.308		238.326		1945574.0	0.9737			!52
7907	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.202	12	8	0	12.354		242.504		0.293		219.531		1796199.0	0.9761			!51
7908	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	71.234	12	8	0	12.489		245.293		0.297		141.282		1160573.0				!36

#      .........................................................Q2 = 2.115, W = 2.95, X = 0.21, low epsilon, theta(SHMS = 6.2 deg, centre) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7909	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.078	14	8	0	7.137		372.021		0.257		131.014		1318933.0	0.9683			!36
7910	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.493	14	8	0	7.441		387.48		0.267		55.047		553480.0	0.9693			!12
7911	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	38.997	14	8	0	5.379		279.932		0.195		77.354		779882.0	0.9644			!25
7912	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.777	14	8	0	3.132		161.658		0.115		28.683		299024.0	0.9629			!14
7913	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.611	14	8	0	5.448		285.22		0.199		76.601		773373.0	0.9626			!4
7914	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.368	14	8	0	6.615		345.438		0.237		117.79		1175875.0	0.9667			!26
7915	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	38.898	14	8	0	6.016		314.289		0.216		118.783		1187147.0	0.9639			!38
7916	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.076	14	8	0	7.537		395.633		0.271		135.726		1356375.0	0.9677			!33
7917	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.373	14	8	0	7.734		406.406		0.279		146.517		1465148.0	0.9596			!28
7918	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	38.441	14	8	0	5.733		299.037		0.206		27.966		279437.0	0.9698			!5
7919	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.065	13	7	0	6.611		347.052		0.239		142.475		1435737.0	0.966			!25
7920	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.039	13	7	0	7.722		406.028		0.278		116.507		1169241.0	0.9742			!14
7921	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.579	13	7	0	7.933		418.54		0.287		182.834		1841042.0	0.9655			!39
7922	Prod	4.983	6.20		0.888	-36.15		Dummy	6.19009	48.985	13	7	0	1.068		37.965		0.018		23.781		51840.0		0.9872			!0
7923	Prod	4.983	6.20		0.888	-36.15		Dummy	6.19009	50.789	11	6	0	2.356		84.5		0.029		198.331		804747.0	0.9902			!0
7924	Prod	4.983	6.20		0.888	-36.15		Dummy	6.19009	51.767	11	6	0	2.626		94.329		0.031		100.607		405930.0	0.9901			!0
7925	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.81	13	7	0	7.854		413.675		0.284		170.95		1724492.0	0.9715			!33
7926	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	52.014	13	7	0	8.078		425.924		0.293		183.094		1845797.0	0.9645			!50
7927	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.272	13	7	0	7.77		408.819		0.281		143.944		1449917.0	0.9643			!43
7928	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	50.773	13	7	0	4.757		249.905		0.176		72.459		739111.0	0.9611			!19
7929	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.795	13	7	0	2.087		106.522		0.078		3.421		35039.0				        !3; Junk run - no beam
7930	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40	13	7	0	7.552		393.849		0.268		13.966		139498.0	0.9685			!2; BCM current reporting incorrectly. Analysis reports ~50, actually 40.
7931	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	50.557	13	7	0	7.781		405.786		0.273		175.929		1736654.0	0.9724			!37; current 40 uA
7932	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.692	13	7	0	7.834		412.628		0.284		171.455		1727261.0	0.9663			!32; Beam current actually 40 uA
7933	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.628	13	7	0	7.29		383.944		0.264		168.158		1694333.0	0.9644			!38; Beam current still 40 uA
7934	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.435	13	7	0	7.762		408.587		0.281		176.0		1770693.0	0.9624			!40; current 40 uA
7935	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.262	13	7	0	7.118		374.216		0.258		158.969		1602371.0	0.9644			!26; 40 uA
7936	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.345	13	7	0	7.469		392.499		0.27		151.628		1527861.0	0.9684			!32 , Current is 40uA
7937	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.324	13	7	0	6.755		354.462		0.245		164.136		1657065.0	0.9712			!37, 40uA
7938	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.916	13	7	0	7.314		384.007		0.266		143.332		1451645.0	0.9626			!38 current 40 uA



#      .................................................................................8.2 GeV Setup, HEEP and LUMI Runs........................................................................................................


Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
